start	end	text
0	26160	Good evening. Welcome to the historic episode number 73 of Harman Town. Episode 73, please
26160	37200	welcome to the stage, your mayor, Mr. Dan Harman. Hello, thank you.
37200	49280	Guest Comptroller, Erin McGathey. How are you doing? How did it go, starting the
49280	53560	show? I think it went okay. Okay. I got some encouragement from the front row.
53560	59320	Oh yeah? What did they do? Shouldn't you? Yeah, I mean before the show they were like,
59320	64560	oh hey, hi, how's it going? The second row was like, fuck you. They're all holding it, giving me thumbs
64560	68800	downs, shaking their heads back and forth. Thanks for coming on Emmy night and
68800	77760	Breaking Bad night. We appreciate it. I'm back. I got an iPhone. I'm back. So I'm
77760	81960	not wearing my eye Harman tonight, which is my notepad that I've been using, only
81960	85560	because I'm gonna give it a field test. I'm gonna give Evernote another week.
85560	89520	I'm gonna see if Evernote works for keeping track of stuff, which so far it
89520	94000	does not. It doesn't work. But I did just use my fingerprint to open my phone and
94000	99640	that's that's disturbing. They say that the fingerprint is stored on the chip
99640	103360	inside the phone and that will never therefore be accessible to the National
103360	110320	Security Agency. It's already been hacked. Yeah, it's in a chip on a phone.
110320	116920	I was never a part of the of the vote where they said, hey,
116920	120240	we're gonna give everything but the things in the chips on the phone to the
120240	124120	National Security Agency. I was never a part of that. I'm sure they would have
124120	130120	said that was okay too, right? Sure. We're putting it in the iCloud. The cloud has a
130120	135120	border around it. Dan, how long do you think it'll be before a jealous boyfriend
135120	141440	or girlfriend cuts off their partner's thumb? Oh, and uses it to unlock their
141440	145320	phone. Yeah. Well, there's definitely gonna be a lot of like sleepy up, passed
145320	153240	out sleeping, use your phone. Just lifting a limp hand up. Yeah, well,
153240	157400	people cut off penises and stuff. So like, of course, they're gonna
157400	160920	definitely, you go through people's purses. Like, you know, if you're in an
160920	164320	unhealthy relationship, you're yelling at each other and then you get drunk and
164520	168880	then you pass out that someone's gonna use the phone, the thumb to yeah, for
168880	172480	sure. Well, I feel like people justify a lot of bad behaviors, whereas like
172480	175240	breaking into their partner's phone, like, oh, yeah, I was checking the thing
175240	178680	and then I came across this, like, it's pretty hard to get around the thumbprint
178680	185440	thing. It's an obvious thing. This has been thumbprint talk. Yeah. I just had
185440	188800	the air taken out of the thing I really wanted to talk about tonight, which is
189040	192120	something that Duncan Trussell told me earlier tonight, which is that the first
192120	196120	cybernetic cyborg hate crime happened at a French McDonald's, but it happened
196120	201760	like two years ago, like July of 2012. And there was a guy in a French
201760	206680	McDonald's that had a cybernetic eye. And yeah, people were like, take off that
206920	214080	camera. And he was like, it's my eye bolted to my skull. I'm a cyborg. And it
214080	219080	was, he was a cyborg. And, and they tried to rip it off like a kid, like, like, you
219080	223680	know, like in a, you know, in a comedic, like, take off that beard, you're in
223680	229000	disguise. And it's like, ow, I'm Santa Claus. Except they tried to rip his eye out
229000	233680	of his head. Ostensibly, because they're French, I guess, and they're like, both
