start	end	text
0	25720	Welcome to Hollywood, California, the Nerd Milk Theater, and thank you for listening
25720	28360	to us out in the podcast universe.
28360	49800	Please put your hands together and open your hearts for the Mayor of Harmanstown, Dan Harman.
49800	54280	You guys are fab, or mod, or whatever that music was.
54280	57560	Jeff, it's an important night tonight.
57560	64280	Because I'm very excited, not because I'm in a good mood, I guess I am, but just narratively
64280	73000	and kind of a- It's a big night for stuttering.
73000	78080	Conceptually, you just pointed out in the green room before we took the stage that we
78080	82320	are standing at the precipice of a nexus here.
82320	87100	I really don't follow the politics, but we just did the math in the green room.
87100	92180	Even though right now, tonight, in this room, we have no idea who the next president will
92180	93740	be.
93740	99740	When this airs, we will know, so we have an opportunity to create multiple timelines.
99740	102900	My favorite thing.
102900	106860	We are living on a razor's edge right now.
106860	108700	We are a Schrodinger's Nation.
108700	114380	Either there's a guy that's still a president that we don't know anything about, or what
114380	120420	happened at all, or there'll be a new guy who seems like a douchebag.
120420	122700	Or a lovely guy if he's the president now.
122700	125660	If he's not the president, my hat is off to you, sir.
125660	127660	Well run campaign.
127660	129220	Please.
129220	133740	Get those jobs for people?
133740	134740	I don't watch the news.
134740	135740	I don't like politics.
135740	138580	Dan and I don't know the first thing about politics.
138580	141180	Just surrender your mind.
141180	143060	Don't even pontificate about it.
143060	144780	Let's just leap into it.
144780	146940	Let's do two different openings.
146940	155340	The same audience, same enthusiasm if you please, whatever, however you want, but bring
155340	156340	me ...
156340	157340	Does somebody have a coin?
157340	158340	A quarter?
158340	159340	Let's flip a coin.
159340	160340	All right.
160340	161660	Heads Obama, Tails, Romney?
161660	162660	Yes.
162660	163660	We'll do both.
163660	166820	Just to be fair, we're going to pick ... like at a debate.
166820	173020	They flip coins to see who goes first.
173020	179460	It's heads Obama won, so let's bring ... wait, wait, sorry.
179460	180460	That's fine.
180460	181460	That's fine that you're enthusiastic.
181460	182460	He may or may not have won.
182460	183460	He won ...
183460	184460	Yeah, I'm sorry.
184460	185460	We didn't mean to tell you ...
185460	189220	That's not how the electoral college works, you guys.
189220	190220	We're not die-bold.
190220	191220	We don't ...
191220	195180	Harbontown doesn't have the power that you think we wield.
195180	198260	We didn't invest in a bunch of voting machines, sir.
198260	201500	God, what if that was John King would be out of a job?
201500	202500	Holy shit.
202980	206940	No, but I was just saying, hold your applause for ... because do the whole opening, because
206940	209260	depending on who wins, we would come down on the right side.
209260	210260	Just bring me up.
210260	211260	Zach, bring my stuff.
211260	212260	You guys pretend that you haven't seen me yet.
212260	213260	All right.
213260	214260	Go back out there.
214260	215260	You're going to stay up here and make a drink.
215260	216260	Whatever.
216260	217260	Okay.
217260	218260	We'll start again.
218260	219260	All right.
219260	228260	Harbontown is now in session.
228260	240220	Put those Democratic hands together for the mayor of Harbontown, Ted Harmon.
240220	241220	We did it, motherfuckers.
241220	242220	We did it.
242220	243220	Four more years.
243220	244220	Four more years.
244220	245220	Four more years.
245220	246220	Four more years.
246220	247220	Fuck you.
247220	248220	I love abortions.
248220	261180	I mean, I don't love them, but if I want to love them, I love them.
261180	265580	Fuckin' ... No, I just got myself an honorary abortion last night.
265580	268980	I'm in such a good mood tonight, Jeff, because Obama won the election.
268980	269980	I'll tell you what, though.
269980	270980	It was a squeaker.
270980	271980	It was a squeaker.
271980	274820	It's fucking weird how every four years it's a squeaker.
274820	275820	I don't get it.
275820	279020	It's almost like there's some weird industrial military complex pretending like we have a
279020	280620	choice when we don't actually.
280620	285620	Wait, Dan, Dan, Dan, are you saying that voting for one of two people, it was an electoral
285620	289340	college, creates a myth of efficacy that your vote doesn't matter at all?
289340	290580	Jeff, that would be crazy.
290580	296260	Who would be incentivized to do that except to hire echelon of rich people that own everything?
296260	300580	Why would all of them who have everything in common do that to a bunch of poor people
300580	304420	who also have everything in common and outnumber the motherfuck out of them?
304420	305420	Why would they do that?
305420	306940	I can't, Dan, but what's in it for them?
306940	307940	Why would they lie to us?
307940	308940	I don't know.
308940	313740	I'm just, I just love it that Obama won!
313740	320580	It feels good because, and here's why it feels good, because that other guy was fucking creepy.
320580	327060	I can't believe in a field of Republican candidate choices, I mean, there were some weirdos in
327060	328060	there.
328060	329060	Down to Mormons now.
329060	333020	Next year there will be a guy with a snake for a necktie.
333020	334100	Next year?
334100	335780	Next every year, right?
335780	338420	Well, it will be because there's a black guy in the White House.
338420	339420	It'll be every year now.
339420	341060	They're going to change the rules in the Congress.
341060	345300	I remember right up until the very moment that Pennsylvania finally got their head out
345300	353140	of their ass and fucking just barely went for Obama, because boy, was that a swing state.
353140	356660	But I remember thinking, this guy Romney, it always seemed like a joke that he was in
356660	357660	a fight.
357660	358660	No, he was constantly a joke.
358660	363260	Here's some other names that you don't remember, Steve Forbes, uh, I don't know, just Pat
363260	364260	Rasmussen.
364260	368540	The name names, especially on the Republican side, I mean, there's a million on the Democrat
368540	376620	side too, but it's so weird, we will never thank God to hear the words John McCain again.
376620	381860	He revealed himself in the final stages to be so vile, and right at the end there, Romney
381860	383500	just went radio silent.
383500	387460	They just fucking turned into, that's what an alligator does, right?
387460	393220	It just turns into a pair of eyes above swamp level, just like, that's what a cat does
393220	398140	right before it pounces, like, I thought, I thought, Jeff, for a second that something
398140	404180	shady was about to happen, but it turns out we still live in a completely democratic nation.
404180	408540	You're talking about the big dispute in Indiana, the big voter fraud thing in Indiana.
408540	414660	Oh shit, that thing that happened where people, people thought that Obama's dick, uh, that
414660	420500	was a ballot, they counted his dick as a ballot, they kept punching it.
420500	430860	There were all, there, it turns out, 70 year old women who fought in World War II, dicks
430860	437700	can be ballots to them, because they're, back then, paper was made of hemp before pot was
437700	443940	illegal, so you, you were allowed to, back then, tattoo your presidential choice from
443940	452420	overseas onto a, uh, slave's dick, and send him to America, and it was an absentee ballot.
452420	453420	But this is Indiana.
453420	459300	This is all a bunch of bullshit, I mean, it doesn't, uh, the point is, like, 70% of Indiana
459300	465100	was, like, unaccounted for, and it was a sway, but anyways, Obama won, it was, it was great,
465100	466100	alright.
466700	467700	Or Seventeen.
467700	468700	Or did he?
468700	469700	Buh-buh-buh-buh-buh-buh-buh.
469700	470700	Bill Tommen!
470700	471700	Howlman Teller's back in session.
