start	end	text
0	15000	From the Hyatt Regency Hotel in beautiful Montreal, Quebec, Hormontown is now in session.
15000	21000	The three are Spencer Crittenden, everybody.
21000	24000	You know him.
24000	25000	You love him.
25000	28000	You want a piece of him, Spencer.
28000	34000	How are you doing, brother?
34000	36000	I'm so good.
36000	39000	How was that chicken sandwich at McDonald's sitting with you?
39000	41000	It was not so good.
41000	46000	Let's bring out the mayor of Hormontown, Dan Harmon!
53000	55000	Bonjour.
59000	62000	We're going to do the whole show in French.
68000	70000	Dipped in almost.
70000	71000	There we are.
71000	72000	Did you have a pill?
72000	73000	And I'm out.
73000	74000	That's it.
74000	75000	That's all I got.
75000	78000	That's two years of French in my high school days.
78000	81000	They make you take French, but you can also take Spanish.
81000	87000	You take each one for a year and you just kind of, I don't know if eight years is wheat
87000	91000	show.
91000	97000	If being bilingual makes you so great, then how come everyone bilingual isn't rich?
97000	101000	Why don't you have twice as much money if it's so important?
101000	104000	I guess Americans can't really have that philosophy anymore.
104000	106000	We're kind of broke now.
106000	109000	If you speak three languages, you're tri-lingual.
109000	111000	If you speak two languages, you're bilingual.
111000	114000	If you speak one language, you're American.
115000	119000	We may be back here in November forever.
121000	123000	I'm sure you've heard that a lot.
126000	128000	We'll be very low profile.
128000	131000	We're not going to act like we're allowed to be here.
131000	135000	We'll thank you for not building a wall before we get here.
135000	136000	We'll just hang out.
136000	141000	I will just enjoy sitting in a corner dipping French fries in mayonnaise without feeling creepy.
141000	143000	I love that so much.
143000	145000	Thank you for that cultural debate.
145000	148000	They just brought a bowl of mayonnaise with the French fries.
148000	152000	The French fries may as well be a spoon.
152000	155000	It's just yummy.
155000	158000	They put gravy on anything you want.
160000	163000	Some Montreal facts, Jeff.
163000	166000	Do you know the typewriter was invented here?
166000	172000	The shoe was invented here?
172000	175000	Just the one shoe.
175000	178000	It took another country to invent the other shoe.
178000	182000	Portugal invented the right shoe.
182000	189000	Did you guys know that for a long time, shoes existed before they figured out to make left and right versions of them?
189000	193000	They were just neutral shoes for a long time.
193000	195000	That makes sense, I guess.
195000	197000	Yeah, it's cool.
197000	199000	I love it.
199000	201000	Carry on.
201000	205000	What year did we start making feet-specific shoes?
205000	207000	Ancient history.
207000	210000	Maybe Egypt figured it out or something.
210000	211000	A long time ago.
211000	214000	How are you Spencer? I noticed you got more applause than I did.
214000	216000	Oh, yeah.
216000	217000	I don't know about that.
217000	218000	You know why?
218000	222000	Because you're as Canadian as an American can get.
222000	225000	I meant it as a compliment.
225000	227000	Yeah, you always mean it as a compliment.
227000	230000	I always take it as an insult.
230000	231000	Do I say it a lot?
231000	233000	Yeah, all the time.
233000	236000	You Canadian piece of shit.
236000	241000	Well, for instance, you missed your flight.
241000	243000	That's pretty Canadian.
243000	247000	Wasn't there just a flight all the time that anyone can just get on?
247000	249000	Mass transit.
249000	251000	You guys love mass transit.
251000	253000	So he missed his flight.
253000	255000	Because of mass transit.
255000	256000	Just connecting dots.
256000	258000	I just wanted to talk about you missing your flight.
258000	259000	No, I love it.
259000	261000	I didn't bring my passport.
261000	264000	I think that you used to not need a passport.
264000	265000	I don't know.
265000	266000	I didn't bring my passport.
266000	269000	That was back when people had the same shoe on both feet.
269000	276000	We invented countries and left and right shoes in 1928.
276000	282000	Al Capone invented the right shoe and the passport.
282000	284000	There's stuff flying off on my mustache.
284000	286000	I don't know if you can see that.
286000	289000	That means it's going to be a good show.
289000	291000	I'm a little sober.
291000	292000	I apologize.
292000	294000	But yeah, the bar is not open.
294000	297000	How do you have a hotel during a festival at 1 o'clock p.m.?
297000	298000	The barbie shut?
298000	299000	It's directly above us.
299000	301000	I think we hit the ceiling.
301000	302000	Can we get a really big broom?
302000	307000	We're making some drops of booze to trickle down the light fixtures.
307000	310000	Levi texted us all in a group text this morning telling us where to meet
310000	311000	and what the deal was.
311000	313000	And he said, the show is below the bar.
313000	315000	And Jeff said, I'll say.
322000	325000	Yeah, I've got some notes.
325000	327000	And then Spencer said, that's what she said.
327000	328000	And we're like, OK.
328000	330000	Hey, let's make this real clear.
330000	334000	Dustin on the text chain was doing That's What She Said all morning.
334000	337000	And by the time I was doing it, it was very clearly ironic.
337000	339000	OK.
339000	340000	All right.
340000	341000	That's what she said.
341000	343000	Then I wrote.
343000	346000	Then after 100 That's What She Saids, I wrote, I have a vagina
346000	348000	and like to have sex with men.
348000	350000	And nobody said anything.
350000	351000	Yeah.
351000	354000	It's plain hard to get.
354000	356000	That's proof that That's What She Said doesn't actually mean
356000	358000	that's what she said.
358000	359000	It means something else.
359000	361000	We don't know what it means.
361000	364000	We don't know who she is, why she keeps saying stuff.
364000	365000	But she's clearly.
365000	367000	She's pretty chatty.
367000	370000	She says a lot of stuff.
370000	371000	All right.
371000	373000	So let me just look at my.
373000	374000	You have a monitor, Dan.
374000	375000	Do you see yourself down here?
375000	378000	Oh, Jesus.
378000	383000	You can see the own stuff flying out of your own mustache.
383000	385000	I took off all my clothes in San Diego.
385000	387000	And I was looking at screen grabs of it.
387000	389000	And I was like, I got to get on the elliptical.
389000	394000	But then I just ate a quarter pounder with fromage downstairs.
394000	396000	Fries with mayonnaise.
396000	399000	I hate myself so much.
399000	402000	Just a disgusting monster.
402000	405000	Imagine being my girlfriend and just looking up.
405000	406000	How can I?
406000	411000	This giant gross flappy tits bouncing up and down.
411000	418000	And I like grit my teeth and go.
418000	423000	I made a TV show once.
423000	430000	I'm going to come thinking about my TV show.
430000	437000	Looking at my own tits.
437000	438000	She's a saint.
438000	440000	She's a good woman.
440000	443000	On the flight here, the gal I'm dating sent.
443000	447000	I left a little like little lovely post-it notes around the crib.
