start	end	text
0	19600	From Hollywood, CA, Meltdown Comics for Meltdown Theater, Harman Town is now in session.
19600	24600	Please welcome to the stage the mayor of Harman Town, Mr. Dan Harman.
24600	39720	Thank you very much.
39720	47480	I was minecrafting and I'm not really ready to do the show.
47480	49920	What happened recently on Minecraft?
49920	53040	Get us up to date on where you were as you left Minecraft.
53040	56280	I have a new base that I built up in the sky.
56280	63480	It's a cube of marble and inside of it is a glass room with these powered spawners that
63480	66400	creates zombies, that bring zombies into the world.
66400	72040	And then there's these machines on all sides that immediately murder them and all of their
72040	77000	brains and flesh go through conduits into a central chest underneath that chamber.
77000	82360	And then I just finished making an elaborate system that like a serial killer's like elaborate
82360	90080	like turn of the century world fair murder castle like sorts their armor off and melts
90080	95480	it down into gold and you know anything that they were carrying like I just sort it all
95480	101720	out and then you take their flesh and their flesh gets teleported into a tesseract that
101720	107840	funnels down into these vats and is combined with sugar from these fields of cane that
107840	110680	I have growing on the roof of my cube.
110680	115240	So the cube is a cube of marble with like sugar cane growing on the roof and it's just
115240	119440	being constantly harvested and that gets turned into sugar and the sugar is combined with
119440	125560	the zombie flesh and forms a nutrient juice that powers my whole operation.
125560	134680	I have these these generators that uh man thank you thank you you should applaud welcome
134680	139400	to Nuremberg 1939.
139400	146280	It does make you feel a little I mean they're zombies but but they're they were created
146280	151520	by me like I did summon them into the world with my machine only to harvest their flesh
151520	152560	and brains and stuff yeah.
152560	155880	Is this part of a menu that happens when you first get the game or?
155880	160960	No no it's probably it's a lot of mod packs I'm playing I've told you I'm playing I told
160960	166400	you Jeff I'm playing yeah we don't talk as much as we used to the Beast infinity mod
166400	170120	pack it's a it's a view if you're interested in it.
170120	176800	You summon zombies only to murder them and harvest their parts to fuel your war engine?
176800	185760	Yes zombie generators they each generate 80 red redstone flux points of energy per tick
185760	192160	a tick is a tenth of a second I think and then so each zombie generator generates 80
192160	195280	then I have like just a wall of them and they all take in this they all run on this
195280	201240	nutrient nutrient distillation and then they funnel the energy into a big giant capacitor
201240	206520	and then that that that charges everything like my jetpack and stuff like that.
206520	211800	Your jetpack oh yeah go ahead go ahead the jetpack wait sir is it a is there a first
211800	215920	person or third person element to this where you're flying around?
215920	218000	It's a first person experience.
218000	223880	So you're on a jetpack flying around through your sky cloud zombie killing?
223880	227120	Yep alone yeah.
227120	230360	Is there any companionship is there anybody out there are you just you're just just you
230360	232880	out there with the zombies?
232880	241400	Just the comforting screams of their I usually put it on mute because it's a little disturbing.
241400	246520	I keep my keep my bedroom far away from where you can hear their their cries of anguish
246520	253320	and confusion I'm sure they're very confused they're like brains what my brains yeah it's
253320	257000	pretty pretty great what I'm doing.
257000	262320	What is I'm not saying this to be glib or smart ass like what is the payoff like what's
262320	263320	the what's the serotonin?
263320	267080	There's no there's no oh you mean like well it's never gonna end if that's what you're
267080	270800	I thought you were asking that like my wife is always asking it's never gonna end she's
270800	277840	like did you win yet no I did not win yet no I I mean what what is the what is the what's
277840	287360	the visceral experience of that like like just getting fatter and it's it's it's it's
287360	294520	a world where every decision you make can can result if you choose it to to in perfect
294520	299680	order it's perfect organization it's like you listen to that I took zombies and I turned
299680	305720	them into electricity and I and their their their pants get turned into gold like I just
305720	310120	everything is you know there's a place for everything and you just sort things and build
310120	315240	them and you can you can create anything it's like you know it's like digital Legos and
315240	320480	it's a that's I need that in my life because you know I don't I don't you know nobody has
320480	326000	that in real life that's the because the rest of life is too disordered is too too and there's
326000	331040	no result you know if you could you could go out in the street and the lady could go help help my
331040	336200	my wallet and and like there's a guy like stealing a wallet and you're like he's kind of smaller
336200	342080	than me I think I'll I'm gonna do the right thing here and then you go up and go hey get your damn
342080	347200	hands off her and the guy just stabs you and the and the woman's like ha ha we tricked you we're
347200	355240	like a we're like a pair of people that do this and take his blood take his blood so let's get
355240	360840	out of here and you turn his pants into gold you know that's yeah in real life you could you
360840	367000	could be the zombie that's generated by a auto-spawner our friend Annie from South by Southwest is here
367000	371720	tonight you think you think she she you know you think in her Minecraft game she would say give me
371720	382440	spinal stenosis like she she are you here Annie okay there you are yeah hello Annie people didn't
382440	393000	like my off-handed glib use of you as an analogy Annie Annie's here she can she can confirm now I'm
393000	397960	so I was glad to hear you were gonna be here do did you just schedule a LA trip by coincidence
397960	409160	or did you oh you live here what were you doing in South by Southwest okay do you want to come up
409160	415880	here is it is it is it easy enough well can we move that table so she can she needs her walking
418600	422200	oh really okay you can do it let's welcome Annie over to wherever she is
430440	435480	hello Annie resplendent and pink sweater and pink bow thank you
436440	442360	okay so we met you at South by Southwest which was very loud and I didn't listen to the broadcast
442360	446920	I don't know if it was like super loud too loud for the listeners or anything oh man I couldn't
446920	449880	tell because last time we were there it was the same thing but then I listened to it I was like
449880	453560	well it's not so bad good thing we didn't spend the whole podcast like going hey what's with these
453560	457480	people talking because because I when I listened to it I was like yeah you can't really you know
457480	462760	you can hear like a background sound effect of it's like we're doing a show to Fuddruckers or something
462760	468760	and the but but but this time it was just unavoidable like everyone that came up had to
468760	472840	address it we went over to the bar a thousand times and said keep it down didn't we send you
472840	476840	over there at some point my friend Jessica went and she was like and we were like cheering her on
476840	480360	and Erin went over Erin was the best because she would go over and be like hi what's your name
480360	486440	what are you talking about shut the fuck up it's like it was perfect I don't know yeah they gotta
486440	492040	they gotta figure we gotta ask more questions before we go back to South by yeah I thought
492040	496840	this time the place would be sealed up because of yahoo let's ask for a theater next time well
496840	500120	the open bar was the problem because everybody was standing around the bar and everybody wanted
500120	503480	drinks then you'd stand there and talk to people at the bar because obviously you can't really hear
503480	507960	what's going on at the show but also those people at the bar they were not at the harm in town no
507960	512920	a lot of them were just you know yeah they were just hanging out like like talking about like like
512920	520760	e-wallets and stuff um so we we met you there and I don't know how much they could hear but
520760	524360	we asked you about your your walker and then found out you have this tragic
525480	531320	spinal stenosis you were walking down the hall one day and down just fell down and found out
531320	534760	you're not going to be able to walk over again it's going to get kind of kind of worse as it goes
536360	541320	and uh and then and then it came up that you're and you're a big Annie Edison fan and that your
541320	546840	name is Annie with one end and that you're you have a blog where you talk about what Annie wears
546840	552680	and that you were bummed out about the uh move from skirts to pants which I I a move I made to
552680	559240	be a decent human being uh I understood your your logic behind all of it you were just wrong yeah
559240	566760	yeah I know um it's fine what was your guilt about that Danny you feel like you're being
566760	574600	exploitative yeah yeah I will I'm looking at you know what uh that character does
575240	581320	outfits differently I was like I'm not going like oh that old innocent school girl thing I'm a pig
581320	587320	like I and also like the act the character is is growing and changing so I thought like well
587320	594040	is she just like in this stasis you know does she just have like 11 000 you know short skirts and
594040	599240	pairs of tights and and and cardigan sweaters and like in this closet it's like half cardigans
600040	606200	right so we put you in charge of wardrobe for for the finale episode there's a there's a couple of
606200	611320	scenes where she'll she'll be she's dressed in accordance with your your wishes you you gotten
611320	616440	you gotten you we actually connected you with our wardrobe supervisor it's true she still has not
