start	end	text
0	15000	From the Melville Theater in San Diego, Comic-Con 2015, hide it down.
15000	20000	It's now in second.
20000	27000	The Frank Spencer Credenton out to the stage.
27000	31000	There he is.
31000	41000	And emerging from the fiasco of Kukui, the mayor of Harbin Town, Dan Harbin.
41000	45000	Hello Comic-Con, hello San Diego. Thank you so much.
45000	49000	God, I've been hydrating for you all day.
49000	52000	I got so drunk yesterday and I made up my mind.
52000	56000	We're not doing a bad show for San Diego. Thank you guys for coming out.
56000	61000	We're in competition with Star Wars, Star Trek, Muppet movies, whatever.
61000	68000	Every major corporation that has anything to sell is selling it tonight at Nerd Dance, Nerd Can.
68000	72000	This is the pop cultural epicenter of the year and of the country.
72000	81000	And these are the, looks like 500 people or so that really loved us above all else.
82000	85000	And we owe them an amazing show.
85000	92000	I will not leave this stage until each of you feels like you've got $30 worth of entertainment.
92000	98000	And that's not fucking around. I'm going to do whatever I have to do for you.
98000	104000	But that also means I have to guard and protect you against abuses of your time.
104000	110000	But Dan, we have nothing for sale here except entertainment.
110000	112000	They didn't buy that at all.
112000	116000	So we all just came from the same yacht. I think that's the most important thing.
116000	117000	Let's talk about the yachts.
117000	121000	Actually, you know what? We can wait for that until our guest comes out because I don't want her to have to wait too long.
121000	122000	Right.
122000	125000	I'll talk about things that our guest wasn't there for.
125000	131000	Like the fact that I got my testicles checked because I felt like I felt like a small something.
131000	135000	And I was like, whatever. It's like in the tissues, but not the...
135000	137000	Was it right above your balls?
137000	139000	No, that's my penis.
140000	145000	I felt something under the underside, but I was like, I don't know.
145000	147000	It's something that's like life is going too good.
147000	150000	Like I'm very happy and very much in love and I'm working on things that I love.
150000	153000	And so, of course, I had to feel around until I found something.
153000	154000	Right.
154000	157000	And so it made me think like I got to go to the doctor.
157000	158000	So I went to the doctor.
158000	162000	And it's weird when you're...
162000	164000	My doctor's like a bro.
164000	167000	Like he makes jokes. He does bits.
168000	170000	And so then when he's like, so what's going on?
170000	172000	And I was like, I think maybe a lump.
172000	173000	And he's like, in your butt?
173000	174000	In your balls?
174000	176000	Sorry, I didn't say in your butt.
178000	180000	You guys are making me nervous.
180000	181000	And I said, in your balls?
181000	183000	And then he felt the balls.
183000	185000	And so he's feeling my balls.
185000	186000	He's like a guy.
186000	188000	He's like a scrubs character.
188000	192000	He's just like a Zach Braffian kind of like he's just a bro.
192000	193000	And so he's feeling my balls.
193000	195000	But I felt...
195000	196000	I didn't realize...
196000	197000	I touched my nipple.
198000	200000	I reached up and I was like...
200000	201000	I caught myself.
202000	204000	He was just feeling my balls around and I went...
205000	208000	I reached up and I touched my nipple.
208000	209000	Because as a reflex.
209000	210000	I don't know.
210000	211000	And Cody had told me before.
211000	214000	She said like, you touched your nipple when...
214000	215000	What? God damn it.
215000	216000	Now I forgot.
216000	219000	I want to hold your dick while you pee.
219000	220000	Okay, okay.
220000	221000	Sorry.
222000	225000	Why is she off stage for that line?
225000	226000	Because she's not...
226000	227000	This isn't check off.
227000	229000	She should be on stage for the action.
229000	231000	I leave that up to her.
231000	233000	She's not a performer.
233000	235000	She doesn't like the spotlight unless it's unconditional.
235000	237000	But she wants to hold your dick while you pee.
237000	239000	Well, yeah, but she wanted to remind me of the story.
239000	240000	We were at a hotel and she was like,
240000	241000	I want to hold your dick when you pee.
241000	243000	A lot of people will testify to this.
243000	245000	This is the kind of stuff that's not politically correct,
245000	247000	but it's like it's something that people do.
247000	249000	It sounds romantic as hell.
249000	251000	Can I aim your wiener while you pee?
251000	255000	And she told me that I was touching my nipple
255000	256000	while she was doing it.
256000	257000	I was like, no, I wasn't,
257000	258000	because there's nothing really sexual about it.
258000	259000	It was just a favor for a friend.
259000	261000	Like, there you go.
261000	263000	It's like coming to the firehouse and you go like,
263000	264000	don't play with matches.
264000	266000	I mean, okay, here's what a hose is like.
266000	268000	And like, you know...
268000	270000	She said, you touched your nipple.
270000	271000	I was like, no, I didn't,
271000	272000	because I wasn't...
272000	274000	But then the doctor was like checking my testicles
274000	276000	and I was like playing with my nipple.
276000	277000	Right.
