start	end	text
0	18020	From Hollywood, California, in the steamy Cambodian death fields of the warmth of Meltdown Comics'
18020	21020	Nerdmelt leader, Harmon Town, is now in session.
29020	33020	The audience has made an agreement to laugh despite their discomfort.
34020	38020	Despite bathing in the warm humidity of each other's armpits.
39020	42020	Speaking of which, let's bring out Spencer Crichton.
42020	54020	Warmest kids in the world. He deals in humidity.
59020	66020	I have a good idea. Let's bring out the mayor of Harmon Town and bring this shit to order, Mr. Dan Harmon.
66020	72020	Thank you very much.
73020	85020	Thank you. Kumail's here and I want to maximize our Kumail time, but we've got a couple of items of official business.
86020	95020	We've got some awareness. This segment's called Boring Awareness Things about our show.
96020	100020	Boring. Sometimes you've got to say stuff about your show.
101020	105020	And if anyone is listening for the first time, they're like, this is like every podcast.
106020	112020	The first ten minutes is about a bunch of shit, as if I listen to the podcast every week.
113020	117020	But I don't. Sorry, but we're one of them tonight.
118020	123020	We're doing this Harmon Quest thing. It's for real now. It's been a long time.
124020	130020	I thought it was a working title, but I think it's too late now to change it.
131020	134020	If anyone has any ideas, let us know.
135020	137020	No, I don't think we can change the title.
138020	143020	Is that you're admitting that you want to keep that title no matter what? Even in the face of a better title?
144020	148020	I would love to have come up with something like pencils and swords.
149020	155020	But obviously I didn't. I did come up with that, but I was like, well, that's dumb.
156020	158020	I'm quite happy with Harmon Quest.
159020	160020	I know, it's good.
161020	165020	It's an offshoot of Harmon Town, and now we go on a quest. I think that makes very linear sense to me.
166020	172020	Well, an offshoot of Harmon Town? Wouldn't you ideally like the thing to stand on its own?
173020	180020	If I was Kevin Smith, wouldn't you want it to be called Smith Smith Smith-ness?
181020	183020	Smith Smiths and sorcery?
184020	186020	Or would you want a chance to be like, well, Kevin Smith's in it.
187020	192020	However, I also like Dungeons and Dragons. I don't want to force... It's like Appetown.
194020	200020	Hey, I don't care what you... You've got to drink my Kool-Aid, otherwise you can't even give this show a shot.
201020	203020	Are you saying it's too late to make that change now?
204020	205020	Yes.
206020	207020	Why is it too late? We haven't even shot it yet.
208020	211020	I don't know, because I assume that the larger wheels turn earlier and more slowly.
212020	213020	They're not drawing up billboards right now.
214020	218020	All right, well, I'll make a call on Tuesday, but I better have a list of types.
219020	221020	I'm glad we announced the name sucking.
222020	223020	All right.
224020	229020	Are you saying that we should put that flare up in the air for people to give us names for it?
230020	231020	I did, but he thought into it.
232020	233020	No, because then they'll sue us.
234020	238020	But the real reason we bring it up is because the tapings, which we're going to do,
239020	242020	regardless of what it ends up being called, are happening very soon.
243020	246020	Within the next couple of weeks, September 15th, we start taping for a week.
247020	248020	Two weeks?
249020	250020	Yeah, like eight days, I think?
250020	253020	Eight days. It's like a week. Yeah, it's like a week-ish.
254020	258020	And there's like five separate tapings that we're going to need, each of which will...
259020	260020	Two episodes, two episodes.
261020	263020	Yeah, there's five nights with two showings each night, I believe.
264020	266020	So you can sign up for any of those ten shows?
267020	269020	No, I think you can sign up for any of those five nights.
270020	271020	Oh, and you're there the whole night?
272020	275020	You're there for two shows, two episodes worth of taping, which will take a couple hours.
275020	279020	And we'll move you around in the seats between each episode,
280020	282020	so it looks like there's a different crowd every night.
283020	287020	And we'll change shirts, but you'll be there for two episodes,
288020	290020	which I think will be good. That's the way we did the original stuff.
291020	296020	And so what I'm going to do, because we don't have the information that you need right now.
297020	299020	Also, I think it would be weird for me to announce it right now,
300020	302020	because then to the extent that you are an adoring fan,
302020	305020	you'd have to spend the next five minutes going like,
306020	308020	let me get my foot in that door before it sells out.
309020	310020	I'm flattering myself, I know.
311020	316020	But I want you to just enjoy and not have anxiety about Black Monday,
317020	318020	or whatever the hell it's called, Boxing Day.
319020	322020	I don't want this rush for... The Cabbage Patch Doll Rush.
323020	324020	Cyber Tuesday.
325020	329020	So what I'll do is on Tuesday at noon, noonish, right around noon,
329020	333020	so now you're forewarned, like right around noon Tuesday,
334020	336020	when we have the information, I'll tweet a link to a website
337020	341020	where you can rush to reserve seats for the Harmon Quest.
342020	345020	For the whole audience? That'll be our whole audience, is that rush?
346020	348020	Well, again, I flatter myself, but I don't think we're going to need more.
349020	350020	If that would be the way to do it, that'd be awesome,
351020	354020	as opposed to just having people that may or may not know exactly what we're doing.
355020	357020	Yeah, no, I don't think we're going to need to go get people off the street,
357020	358020	but I do think we're going...
359020	361020	Do we know how big the... I talked to the guy that's producing it,
362020	364020	do we know how big the studio audience is yet?
365020	366020	Like 110 people.
367020	368020	That's great. Yeah.
369020	370020	We can do that five times.
371020	372020	Of course we can. Look at him.
375020	377020	But we're also using one of those services,
378020	379020	we're doing it through a service that I'm sure will then go,
380020	382020	nope, your fans don't like you, now we'll turn this other valve
383020	386020	where tourists are coming in dressed as lobsters for let's make a deal.
388020	391020	I couldn't get into the prices right, but I guess I'll watch this guy.
392020	394020	What if it was only the same two or three hundred people
395020	396020	that just kept sifting through the whole time wearing different shirts?
397020	398020	That'd be fine with me.
399020	400020	Yeah, no, I have no problem with that.
401020	403020	People can come every show.
404020	408020	What I would like people not to do is just automatically before they figure out
409020	412020	that they can make every show reserve a ticket for every show,
413020	414020	because that's a ticket we can't...
414020	417020	You know, try to split the difference between precaution and...
418020	420020	Because at the same time we're going to be like 10% overbooking and all that shit.
421020	424020	So there's bullshit going both ways, ain't there?
425020	428020	We're both going to fuck each other over.
429020	431020	Just hit every elevator button in the car.
432020	436020	Why didn't we make the smart move and do all five tapings at Madison Square Garden?
437020	439020	All right, so moving on.
439020	447020	Festival Supreme, Jack Black's Lollapalooza of comedy and music is happening in October.
448020	449020	Harmontown is doing a show.
450020	453020	Jeff isn't going to be able to participate, but we're doing a Harmontown Festival Supreme.
454020	455020	Sadly, I'll be out of town.
456020	461020	I know we do, but I don't, because I don't personally right now.
462020	465020	Does anyone have any details about when our show is for Festival Supreme?
466020	467020	It's October 10th.
468020	469020	They gave Jeff.
470020	471020	I think it's October 10th.
472020	476020	I know that because I think that's the date I found out that I had been booked on a long time ago.
477020	478020	That makes sense.
479020	480020	But I could be wrong about that, but double check that.
481020	482020	It's a 10th, but we don't have a time yet.
483020	484020	Oh, all right.
485020	486020	Well, I'm out of town no matter what fucking time it is.
489020	491020	I came down a little hard on Steve on that one.
