start	end	text
0	14240	Oh man! Hello everybody! Welcome! Hommentown is now in session! Let's hear it! Come on!
17280	24240	Welcome to the back of Nailedown Comics! Let's bring out Spencer! Spencer!
24240	33840	Spencer, right here. I forgot to introduce myself. I'm Rob Shrub. I will be controlling in
33840	40880	the place of Jeff Davis who could not be here tonight. How y'all feeling tonight? You everybody
40880	47200	feeling good? Alright, let's bring out the mayor of Hommentown, Mr. Dan Harmon!
55040	57040	Ahhhhhh!
71760	73680	And sit! And sit down, sit down!
73680	78480	Yay! It's 8-12!
85760	86720	Now explain that.
89120	96000	When you were in the bathroom at El Capadre, Rob Shrub shot me a mischievous look. I said,
96000	100240	now Rob, that's not a normal man's look. You've got something cooking up right in your mind right
100240	108960	now. And what did you say, Rob? Well basically, he suggested that we do what you just saw happen.
110720	118720	Like, what did you, you tweeted them? I didn't tweet shit, man! I've been on Twitter since Bill
118720	128560	Paxton died. We lost Bill Paxton. I'm really bummed out about that. Who's really bummed out about that?
128560	137040	Game Over Man! Some people make fun of it. Yeah. I'm pretty sad about it. Saying Game Over Man is
137040	142240	definitely trivializing a human being's death. Yeah. I would say. I got a lot of misguided people
142240	146560	when Harold Ramis died, you know, like, oh he's seeing Vinkman on the other side now. It's like,
146560	152400	don't, don't do the, don't do the thing where you, like, you know, relate their death to their
152400	158240	product. Like, I don't think. Not, not, not when you're genuinely trying to eulogize. You know,
158240	164560	do it, do it in the privacy of your own bedroom. When did you find out? Uh, I don't know, this
164560	172480	morning, I guess. Yeah, I mean, like, it was just, it just hit me. Yeah. It was like, so, he's like,
172480	176960	one of those guys that you think is going to be around forever, and he's just gone, you know.
177040	182400	It's like Miguel Ferrer died earlier this year, you know. It's. And we also recently lost to
182400	191360	Milo Yiannopoulos. You don't know when it's going to happen. All of a sudden, just,
193280	198000	somebody will be complicated in surgery. Some people, somebody will dig up a year-old interview
198000	202160	where you sound a little bit like you're, you're all right with pedophilia, and then you're,
202880	207760	and then you're just gone. I, I want to really just congratulate Simon and Schuster. They really
207760	215040	went out on a limb there to, uh, cancel a book deal after rediscovering someone's highly
215040	221520	publicized remarks on pedophilia. Yeah. I think the second time it became publicized, it was really
221520	227680	just the right thing to do at the time. Oh wait, now that's going to be unprofitable pedophilia,
227680	236080	oh no. All right, well, we thought it was one of those one times. It's too bad because he's such a
236080	242800	nice, likable person. It's just like, it's like, well, as you can always explain, he was just,
242800	248320	he was just being funny. He was just very funny. He was just a very funny person. He would always
248320	253760	say, yeah, I think the funniest thing about him was how he would continually talk over anyone
253760	258560	whose show he was on. He had no basic improv training. He would not give and take. He would
258560	263840	just like, like no matter what show he was on, you would just be hearing him talking over anyone that
263840	269600	was always talking. Not a funny person and not a talented person, just a tragic attention whore.
